2025-07-10 22:27:58,162 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:27:58,163 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250710
2025-07-10 22:28:49,374 [INFO] fetch_kline.py:81 筛选得到 2078 只股票
2025-07-10 22:28:49,376 [INFO] fetch_kline.py:335 开始抓取 2078 支股票 | 数据源:akshare | 频率:day | 日期:20250505 → 20250710
2025-07-10 22:31:39,327 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:40,380 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:40,866 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:44,033 [WARNING] fetch_kline.py:162 AKShare 拉取 002304 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:44,390 [WARNING] fetch_kline.py:162 AKShare 拉取 002307 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:44,801 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:45,535 [WARNING] fetch_kline.py:162 AKShare 拉取 002304 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:46,421 [WARNING] fetch_kline.py:162 AKShare 拉取 002307 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:46,915 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:49,157 [WARNING] fetch_kline.py:162 AKShare 拉取 002304 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:49,883 [WARNING] fetch_kline.py:162 AKShare 拉取 002307 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:50,649 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:53,710 [WARNING] fetch_kline.py:162 AKShare 拉取 002310 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:53,866 [WARNING] fetch_kline.py:162 AKShare 拉取 002311 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:54,946 [WARNING] fetch_kline.py:162 AKShare 拉取 002310 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:55,012 [WARNING] fetch_kline.py:162 AKShare 拉取 002311 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:55,516 [WARNING] fetch_kline.py:162 AKShare 拉取 002312 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:56,899 [WARNING] fetch_kline.py:162 AKShare 拉取 002312 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:57,353 [WARNING] fetch_kline.py:162 AKShare 拉取 002311 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:31:58,338 [WARNING] fetch_kline.py:162 AKShare 拉取 002310 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:32:00,674 [WARNING] fetch_kline.py:162 AKShare 拉取 002312 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:32:02,149 [WARNING] fetch_kline.py:162 AKShare 拉取 002314 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-10 22:32:02,166 [WARNING] fetch_kline.py:162 AKShare 拉取 002315 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
